pollutant,model,mae,rmse,mase
co,persistence_last,0.23202072229614046,0.27154272564895116,1.3940972770837305
co,persistence_t24,0.17078521809514427,0.22574045200783305,1.052516603676214
no2,persistence_last,10.407419148458775,12.239406829653777,1.511748590035337
no2,persistence_t24,7.445754314625354,9.795661727035005,1.0399958270313516
o3,persistence_last,22.06092644856166,27.70987974881271,1.4029814275626653
o3,persistence_t24,16.921676700285566,21.030281745788862,1.0500663418875293
pm10,persistence_last,18.39456654957693,21.718696515465773,1.1615366759090482
pm10,persistence_t24,16.745543648430573,21.113769738270555,1.0766736094984215
pm25,persistence_last,16.054294599943272,18.76613293123191,1.2030971753219377
pm25,persistence_t24,13.282212585084554,16.84600447401422,1.0522073976158406
pm25,ratio_pm25,13.515026365647744,16.88819446824961,1.213278796669366
so2,persistence_last,8.322764367890697,12.358683783778543,1.0427512678056514
so2,persistence_t24,9.221083291267517,15.229144475665587,1.158631011223056
