source,city,station,pollutant,coverage,n_real,n_filled,status
fhz,Bihac,Bihac,pm10,0.7675,26911,1211,ok
fhz,Bihac,Bihac,pm25,0.7675,26910,1212,ok
fhz,Bihac,Bihac,so2,0.7698,26992,1331,ok
fhz,Bihac,Bihac,no2,0.6788,23801,2908,ok
fhz,Bihac,Bihac,o3,0.8402,29458,1426,ok
fhz,Bihac,Bihac,co,0.8239,28887,1395,ok
fhz,Livno,Livno,pm10,0.7626,26737,1149,ok
fhz,Livno,Livno,pm25,0.7622,26725,1157,ok
fhz,Livno,Livno,so2,0.7054,24732,1554,ok
fhz,Livno,Livno,no2,0.8395,29436,1372,ok
fhz,Livno,Livno,o3,0.8343,29253,1475,ok
fhz,Livno,Livno,co,0.8448,29619,1266,ok
fhz,Mostar,Mostar,pm10,0.5282,13892,24,ok
fhz,Mostar,Mostar,pm25,0.5279,13886,30,ok
fhz,Mostar,Mostar,so2,0.5633,14817,105,ok
fhz,Mostar,Mostar,no2,0.516,13572,973,ok
fhz,Mostar,Mostar,o3,0.4125,10849,29,sparse
fhz,Mostar,Mostar,co,0.5798,15250,71,ok
fhz,Sarajevo,Ambasada,pm10,0.0,0,0,never
fhz,Sarajevo,Ambasada,pm25,0.989,17328,114,ok
fhz,Sarajevo,Ambasada,so2,0.0,0,0,never
fhz,Sarajevo,Ambasada,no2,0.0,0,0,never
fhz,Sarajevo,Ambasada,o3,0.0,0,0,never
fhz,Sarajevo,Ambasada,co,0.0,0,0,never
fhz,Sarajevo,Bjelave,pm10,0.9468,33196,1330,ok
fhz,Sarajevo,Bjelave,pm25,0.7141,25038,887,ok
fhz,Sarajevo,Bjelave,so2,0.7415,25997,991,ok
fhz,Sarajevo,Bjelave,no2,0.8931,31314,1987,ok
fhz,Sarajevo,Bjelave,o3,0.8528,29902,1347,ok
fhz,Sarajevo,Bjelave,co,0.7216,25302,1040,ok
fhz,Sarajevo,Hadzici,pm10,0.2471,8664,126,sparse
fhz,Sarajevo,Hadzici,pm25,0.0002,8,0,sparse
fhz,Sarajevo,Hadzici,so2,0.5214,18281,182,ok
fhz,Sarajevo,Hadzici,no2,0.6078,21310,164,ok
fhz,Sarajevo,Hadzici,o3,0.5778,20258,126,ok
fhz,Sarajevo,Hadzici,co,0.6054,21225,117,ok
fhz,Sarajevo,Ilidza,pm10,0.9854,34550,73,ok
fhz,Sarajevo,Ilidza,pm25,0.9851,34541,78,ok
fhz,Sarajevo,Ilidza,so2,0.9149,32079,367,ok
fhz,Sarajevo,Ilidza,no2,0.9701,34012,143,ok
fhz,Sarajevo,Ilidza,o3,0.0,0,0,never
fhz,Sarajevo,Ilidza,co,0.1779,6236,48,sparse
fhz,Sarajevo,Ilijas,pm10,0.9232,32370,449,ok
fhz,Sarajevo,Ilijas,pm25,0.0,0,0,never
fhz,Sarajevo,Ilijas,so2,0.9114,31954,690,ok
fhz,Sarajevo,Ilijas,no2,0.9326,32699,559,ok
fhz,Sarajevo,Ilijas,o3,0.0,0,0,never
fhz,Sarajevo,Ilijas,co,0.0,0,0,never
fhz,Sarajevo,Isedlo,pm10,0.7738,27132,762,ok
fhz,Sarajevo,Isedlo,pm25,0.0,0,0,never
fhz,Sarajevo,Isedlo,so2,0.8386,29404,262,ok
fhz,Sarajevo,Isedlo,no2,0.6512,22832,717,ok
fhz,Sarajevo,Isedlo,o3,0.6898,24185,346,ok
fhz,Sarajevo,Isedlo,co,0.0,0,0,never
fhz,Sarajevo,Otoka,pm10,0.9331,32717,387,ok
fhz,Sarajevo,Otoka,pm25,0.2471,8664,27,sparse
fhz,Sarajevo,Otoka,so2,0.9464,33182,160,ok
fhz,Sarajevo,Otoka,no2,0.9474,33218,171,ok
fhz,Sarajevo,Otoka,o3,0.9426,33049,221,ok
fhz,Sarajevo,Otoka,co,0.0,0,0,never
fhz,Sarajevo,Vijecnica,pm10,0.8655,30347,225,ok
fhz,Sarajevo,Vijecnica,pm25,0.0,0,0,never
fhz,Sarajevo,Vijecnica,so2,0.6945,24352,283,ok
fhz,Sarajevo,Vijecnica,no2,0.9469,33199,581,ok
fhz,Sarajevo,Vijecnica,o3,0.0,0,0,never
fhz,Sarajevo,Vijecnica,co,0.8267,28985,166,ok
fhz,Sarajevo,Vogosca,pm10,0.777,20437,22,ok
fhz,Sarajevo,Vogosca,pm25,0.7769,20435,24,ok
fhz,Sarajevo,Vogosca,so2,0.7453,19602,241,ok
fhz,Sarajevo,Vogosca,no2,0.769,20227,143,ok
fhz,Sarajevo,Vogosca,o3,0.0,0,0,never
fhz,Sarajevo,Vogosca,co,0.0,0,0,never
fhz,Tuzla,Tuzla-BKC,pm10,0.0,0,0,never
fhz,Tuzla,Tuzla-BKC,pm25,0.9478,33232,78,ok
fhz,Tuzla,Tuzla-BKC,so2,0.9216,32314,290,ok
fhz,Tuzla,Tuzla-BKC,no2,0.971,34045,78,ok
fhz,Tuzla,Tuzla-BKC,o3,0.3128,10966,18,sparse
fhz,Tuzla,Tuzla-BKC,co,0.5846,20497,38,ok
fhz,Tuzla,Tuzla-Bukinje,pm10,0.0,0,0,never
fhz,Tuzla,Tuzla-Bukinje,pm25,0.1763,6180,4,sparse
fhz,Tuzla,Tuzla-Bukinje,so2,0.9553,33493,111,ok
fhz,Tuzla,Tuzla-Bukinje,no2,0.9413,33004,91,ok
fhz,Tuzla,Tuzla-Bukinje,o3,0.6858,24045,68,ok
fhz,Tuzla,Tuzla-Bukinje,co,0.8721,30576,46,ok
fhz,Tuzla,Tuzla-Skver,pm10,0.0,0,0,never
fhz,Tuzla,Tuzla-Skver,pm25,0.8413,29496,1992,ok
fhz,Tuzla,Tuzla-Skver,so2,0.9253,32442,380,ok
fhz,Tuzla,Tuzla-Skver,no2,0.952,33378,92,ok
fhz,Tuzla,Tuzla-Skver,o3,0.766,26856,477,ok
fhz,Tuzla,Tuzla-Skver,co,0.7065,24772,224,ok
fhz,Tuzla,Tuzla-Trnovac,pm10,0.5365,14111,141,ok
fhz,Tuzla,Tuzla-Trnovac,pm25,0.0,0,0,never
fhz,Tuzla,Tuzla-Trnovac,so2,0.0,0,0,never
fhz,Tuzla,Tuzla-Trnovac,no2,0.0,0,0,never
fhz,Tuzla,Tuzla-Trnovac,o3,0.0,0,0,never
fhz,Tuzla,Tuzla-Trnovac,co,0.0,0,0,never
rhz,Banja Luka,Banja Luka,pm10,0.8137,28526,176,ok
rhz,Banja Luka,Banja Luka,pm25,0.8004,28060,239,ok
rhz,Banja Luka,Banja Luka,so2,0.8588,30107,106,ok
rhz,Banja Luka,Banja Luka,no2,0.849,29764,306,ok
rhz,Banja Luka,Banja Luka,o3,0.8489,29761,263,ok
rhz,Banja Luka,Banja Luka,co,0.8368,29338,286,ok
rhz,Brod,Brod,pm10,0.9631,33766,207,ok
rhz,Brod,Brod,pm25,0.9394,32934,221,ok
rhz,Brod,Brod,so2,0.9596,33644,196,ok
rhz,Brod,Brod,no2,0.9885,34655,209,ok
rhz,Brod,Brod,o3,0.9612,33698,189,ok
rhz,Brod,Brod,co,0.9795,34339,170,ok
rhz,Doboj,Doboj,pm10,0.6084,16000,1196,ok
rhz,Doboj,Doboj,pm25,0.0,0,0,never
rhz,Doboj,Doboj,so2,0.6887,18112,426,ok
rhz,Doboj,Doboj,no2,0.5152,13550,243,ok
rhz,Doboj,Doboj,o3,0.5954,15660,355,ok
rhz,Doboj,Doboj,co,0.28,7365,27,sparse
rhz,Gacko,Gacko,pm10,0.8322,29175,158,ok
rhz,Gacko,Gacko,pm25,0.0,0,0,never
rhz,Gacko,Gacko,so2,0.9367,32839,189,ok
rhz,Gacko,Gacko,no2,0.762,26716,2772,ok
rhz,Gacko,Gacko,o3,0.0,0,0,never
rhz,Gacko,Gacko,co,0.0,0,0,never
rhz,Prijedor,Prijedor,pm10,0.4283,15016,967,sparse
rhz,Prijedor,Prijedor,pm25,0.4073,14280,947,sparse
rhz,Prijedor,Prijedor,so2,0.651,22824,891,ok
rhz,Prijedor,Prijedor,no2,0.5758,20188,775,ok
rhz,Prijedor,Prijedor,o3,0.4848,16995,540,sparse
rhz,Prijedor,Prijedor,co,0.5539,19420,774,ok
rhz,Trebinje,Trebinje,pm10,0.6979,24467,74,ok
rhz,Trebinje,Trebinje,pm25,0.6659,23346,70,ok
rhz,Trebinje,Trebinje,so2,0.6991,24509,94,ok
rhz,Trebinje,Trebinje,no2,0.7877,27615,253,ok
rhz,Trebinje,Trebinje,o3,0.6927,24287,142,ok
rhz,Trebinje,Trebinje,co,0.8461,29663,113,ok
rhz,Ugljevik,Ugljevik,pm10,0.486,17037,761,sparse
rhz,Ugljevik,Ugljevik,pm25,0.0,0,0,never
rhz,Ugljevik,Ugljevik,so2,0.6368,22325,46,ok
rhz,Ugljevik,Ugljevik,no2,0.9589,33617,61,ok
rhz,Ugljevik,Ugljevik,o3,0.0,0,0,never
rhz,Ugljevik,Ugljevik,co,0.0,0,0,never
