station,Bihac,Livno,Mostar,Ambasada,Bjelave,Hadzici,Ilidza,Ilijas,Isedlo,Otoka,Vijecnica,Vogosca,Tuzla-BKC,Tuzla-Bukinje,Tuzla-Skver,Tuzla-Trnovac,Banja Luka,Brod,Doboj,Gacko,Prijedor,Trebinje,Ugljevik
Bihac,0.0,141.95,223.68,227.59,228.64,215.59,222.71,212.91,206.1,225.42,229.83,221.18,223.09,218.5,223.92,225.15,105.64,170.63,175.73,281.0,69.18,305.66,245.47
Livno,141.95,0.0,82.81,112.3,114.15,96.27,105.01,102.76,81.93,109.28,115.0,107.86,154.24,149.46,155.4,156.61,109.74,165.61,132.71,143.77,129.91,163.79,183.76
Mostar,223.68,82.81,0.0,74.72,76.78,62.16,67.82,78.05,51.16,72.04,76.71,75.58,149.03,145.72,150.07,150.87,167.96,199.35,155.05,63.44,200.12,83.04,175.8
Ambasada,227.59,112.3,74.72,0.0,2.15,16.42,7.83,15.59,31.75,3.15,2.71,6.72,78.14,75.79,79.04,79.61,141.42,145.98,99.82,77.72,182.61,127.16,102.56
Bjelave,228.64,114.15,76.78,2.15,0.0,18.46,9.95,16.1,33.81,5.25,1.25,7.46,76.56,74.3,77.44,77.99,141.78,145.28,99.17,78.63,183.15,128.4,100.73
Hadzici,215.59,96.27,62.16,16.42,18.46,0.0,8.78,16.18,15.36,13.29,19.11,14.18,87.16,84.09,88.16,88.92,134.29,146.95,100.83,78.03,174.07,123.78,113.64
Ilidza,222.71,105.01,67.82,7.83,9.95,8.78,0.0,14.82,23.98,4.7,10.45,8.2,83.13,80.45,84.09,84.74,138.98,147.45,101.19,76.2,179.51,124.1,108.52
Ilijas,212.91,102.76,78.05,15.59,16.1,16.18,14.82,0.0,28.43,14.55,17.34,8.87,71.05,67.93,72.07,72.85,125.83,132.64,86.39,91.02,167.07,138.64,97.92
Isedlo,206.1,81.93,51.16,31.75,33.81,15.36,23.98,28.43,0.0,28.6,34.42,29.17,98.39,94.89,99.46,100.32,130.66,150.98,105.58,79.91,168.58,121.01,125.99
Otoka,225.42,109.28,72.04,3.15,5.25,13.29,4.7,14.55,28.6,0.0,5.82,6.02,79.89,77.4,80.82,81.43,140.16,146.28,100.06,77.26,181.11,126.11,104.76
Vijecnica,229.83,115.0,76.71,2.71,1.25,19.11,10.45,17.34,34.42,5.82,0.0,8.67,77.21,75.01,78.08,78.62,143.04,146.35,100.26,77.65,184.4,127.57,101.17
Vogosca,221.18,107.86,75.58,6.72,7.46,14.18,8.2,8.87,29.17,6.02,8.67,0.0,74.94,72.26,75.9,76.56,134.7,140.28,94.05,83.25,175.9,131.87,100.48
Tuzla-BKC,223.09,154.24,149.03,78.14,76.56,87.16,83.13,71.05,98.39,79.89,77.21,74.94,0.0,4.99,1.16,2.39,118.83,85.54,50.05,152.6,161.36,204.07,29.58
Tuzla-Bukinje,218.5,149.46,145.72,75.79,74.3,84.09,80.45,67.93,94.89,77.4,75.01,72.26,4.99,0.0,6.09,7.36,114.49,83.63,46.32,151.14,157.18,202.28,34.3
Tuzla-Skver,223.92,155.4,150.07,79.04,77.44,88.16,84.09,72.07,99.46,80.82,78.08,75.9,1.16,6.09,0.0,1.29,119.58,85.62,50.63,153.33,162.06,204.86,28.42
Tuzla-Trnovac,225.15,156.61,150.87,79.61,77.99,88.92,84.74,72.85,100.32,81.43,78.62,76.56,2.39,7.36,1.29,0.0,120.76,86.25,51.7,153.65,163.2,205.25,27.25
Banja Luka,105.64,109.74,167.96,141.42,141.78,134.29,138.98,125.83,130.66,140.16,143.04,134.7,118.83,114.49,119.58,120.76,0.0,71.92,70.26,210.54,43.34,248.83,139.94
Brod,170.63,165.61,199.35,145.98,145.28,146.95,147.45,132.64,150.98,146.28,146.35,140.28,85.54,83.63,85.62,86.25,71.92,0.0,46.25,223.53,101.56,270.71,92.38
Doboj,175.73,132.71,155.05,99.82,99.17,100.83,101.19,86.39,105.58,100.06,100.26,94.05,50.05,46.32,50.63,51.7,70.26,46.25,0.0,177.29,111.89,224.6,69.74
Gacko,281.0,143.77,63.44,77.72,78.63,78.03,76.2,91.02,79.91,77.26,77.65,83.25,152.6,151.14,153.33,153.65,210.54,223.53,177.29,0.0,248.19,52.71,172.49
Prijedor,69.18,129.91,200.12,182.61,183.15,174.07,179.51,167.07,168.58,181.11,184.4,175.9,161.36,157.18,162.06,163.2,43.34,101.56,111.89,248.19,0.0,282.73,180.83
Trebinje,305.66,163.79,83.04,127.16,128.4,123.78,124.1,138.64,121.01,126.11,127.57,131.87,204.07,202.28,204.86,205.25,248.83,270.71,224.6,52.71,282.73,0.0,224.92
Ugljevik,245.47,183.76,175.8,102.56,100.73,113.64,108.52,97.92,125.99,104.76,101.17,100.48,29.58,34.3,28.42,27.25,139.94,92.38,69.74,172.49,180.83,224.92,0.0
